module N1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=340.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
      electrical d, g, s, b;
  N1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // N1

module P1 (.d(d),.g(g),.s(s),.b(b));
  parameter real w=350.e-9;
  parameter real l=280.e-9;
  parameter integer nf=1;
  parameter real ad=0.0;
  parameter real pd=0.0;
  parameter real as=0.0;
  parameter real ps=0.0;
  parameter real sa=0.0;
  parameter real sb=0.0;
  parameter real sd=0.0;
      electrical d, g, s, b;
  P1 #(.w(w),.l(l),.ng(nf)) M1 (.D(d),.G(g),.S(s),.B(b));
endmodule // P1

parameter real vscale = 0.333333333; 
ground gnd;
N1 #(.l(0.09u),.w(10.0u)) M1 (.d(out),.g(g),.s(gnd),.b(gnd));
resistor #(.r(10k),.noisy(1.0)) RD (.p(vdd),.n(out));
vsource #(.dc(1.2)) Vdd (.p(vdd),.n(gnd));
vsource #(.dc(0.6)) Vg (.p(g),.n(gnd));
// Total noise power at the drain node
meas_noise #() n_out (.p(out));
#              
 0.            
#Freq           npwr(n_out)   
 18.1970086E+3  6.842E-18     
 19.0546072E+3  6.582E-18     
 19.9526231E+3  6.333E-18     
 20.8929613E+3  6.096E-18     
 21.8776162E+3  5.87E-18      
 22.9086765E+3  5.653E-18     
 23.9883292E+3  5.447E-18     
 25.1188643E+3  5.249E-18     
 26.3026799E+3  5.061E-18     
 27.542287E+3   4.881E-18     
 28.840315E+3   4.709E-18     
 30.1995172E+3  4.545E-18     
 31.6227766E+3  4.388E-18     
 33.1131121E+3  4.239E-18     
 34.673685E+3   4.096E-18     
 36.3078055E+3  3.959E-18     
 38.0189396E+3  3.829E-18     
 39.8107171E+3  3.704E-18     
 41.6869383E+3  3.585E-18     
 43.6515832E+3  3.472E-18     
 45.708819E+3   3.364E-18     
 47.8630092E+3  3.26E-18      
 50.1187234E+3  3.161E-18     
 52.480746E+3   3.067E-18     
 54.9540874E+3  2.976E-18     
 57.5439937E+3  2.89E-18      
 60.2559586E+3  2.808E-18     
 63.0957344E+3  2.73E-18      
 66.0693448E+3  2.655E-18     
 69.1830971E+3  2.583E-18     
 72.443596E+3   2.515E-18     
 75.8577575E+3  2.449E-18     
 79.4328235E+3  2.387E-18     
 83.1763771E+3  2.327E-18     
 87.096359E+3   2.27E-18      
 91.2010839E+3  2.216E-18     
 95.4992586E+3  2.164E-18     
 100.E+3        2.115E-18     
 104.712855E+3  2.067E-18     
 109.64782E+3   2.022E-18     
 114.815362E+3  1.979E-18     
 120.226443E+3  1.938E-18     
 125.892541E+3  1.898E-18     
 131.825674E+3  1.861E-18     
 138.038426E+3  1.825E-18     
 144.543977E+3  1.79E-18      
 151.356125E+3  1.758E-18     
 158.489319E+3  1.726E-18     
 165.958691E+3  1.697E-18     
 173.780083E+3  1.668E-18     
 181.970086E+3  1.641E-18     
 190.546072E+3  1.615E-18     
 199.526231E+3  1.59E-18      
 208.929613E+3  1.566E-18     
 218.776162E+3  1.544E-18     
